Emotion,Word,Num
good,人心,1
good,极好,1
good,活泼,1
disgust,强硬,1
disgust,尴尬,2
happy,摆脱,1
good,俏皮,1
good,喜欢,1
disgust,模糊,1
disgust,阴谋,1
disgust,玩弄,1
good,可爱,1
good,喜欢,1
good,希望,1
sad,可惜,1
good,认可,1
good,不错,1
good,希望,1
happy,惊喜,1
good,喜欢,1
disgust,反派,1
good,强大,1
good,威武,1
good,希望,1
good,喜欢,1
disgust,天昏地暗,1
good,精彩,1
good,喜欢,1
happy,起来,1
good,真心,1
disgust,闲人,1
good,必须,1
good,好评,1
good,巧妙,1
good,权谋,1
disgust,好笑,1
disgust,好笑,1
good,精彩,1
disgust,猫腻,1
good,不错,1
good,权谋,1
good,人物,1
good,精彩,1
good,真心,1
good,不错,2
disgust,浮夸,1
good,合理,1
disgust,猫腻,1
good,好评,1
disgust,尴尬,1
good,可圈可点,1
good,实在,1
good,一定,1
good,深刻,1
good,鲜活,1
good,铺垫,1
good,人物,1
good,了不起,1
good,不错,2
good,希望,1
disgust,差劲,1
disgust,不好,1
disgust,难看,1
disgust,头晕,1
disgust,不知所云,1
good,审美,1
disgust,莫名其妙,2
good,相信,1
sad,大失所望,1
disgust,难受,1
disgust,难受,1
surprise,奇怪,3
good,节奏,1
good,节奏,1
disgust,败笔,1
disgust,做作,1
sad,白搭,1
disgust,尴尬,1
good,确实,1
good,牺牲,1
sad,情感,1
good,人物,1
disgust,猥琐,1
happy,起来,1
good,主角,1
disgust,不了,1
good,精明,1
disgust,强行,1
disgust,冷酷,1
disgust,狡猾,1
disgust,欠缺,1
happy,成功,1
disgust,幕后,1
fear,鸿门宴,1
good,一流,1
happy,喜剧,1
good,不错,1
sad,可惜,1
good,出色,1
good,气度,1
good,实在,1
good,权谋,1
good,十足,1
good,恰如其分,1
surprise,稀奇古怪,1
good,节奏,1
disgust,莫名其妙,1
disgust,前言不搭后语,1
disgust,尴尬,1
good,喜欢,1
good,自知之明,1
fear,吓人,1
disgust,难看,1
happy,轻快,1
happy,欢快,1
disgust,画蛇添足,1
good,精彩,1
