spot,content,label
黄果树,"还记得小时候，常常守在电视机前，等候《西游记》的播出。“你挑着担,我牵着马。翻山涉水两肩双滑……""熟悉的歌曲，又在耳边响起时。 这歌词中的水，就有贵州的水，准确的说，是贵州的黄果树瀑布；那一帘瀑布，流进了我们的童年，让我们流连忘返。 黄果树瀑布并不是只有一个瀑布，而是一个大景区，包括陡坡塘瀑布、天星桥景区、黄果树大瀑布，其中黄果树大瀑布是最有名的。",好评
黄果树,飞流直下三千尺 疑是银河落九天！,好评
黄果树,黄果树大瀑布景区，位置坐落在贵州省安顺市关岭县黄果树风景区。这里是贵州省最著名的景区。也是中国最美的瀑布，享有有中华第一瀑布的美名，更是世界吉尼斯纪录里认证的世界最大的瀑布群，说到瀑布群，它蕴含着大小瀑布十八个。,好评
黄果树,国家重点风景名胜区和首批国家A级旅游景区 今天黄果树景区时而艳阳高照，时而瓢泼大雨；当地人说两个多月没有这么晴朗的天空更是没有下雨；我们如此这般幸运一会晒脸?? 一会挨浇? ?? 人品爆棚，但景区内风景秀丽、环境优美，值得值得,好评
黄果树,黄果树瀑布群绝对是值得一看的。景区非常大，不止黄果树瀑布，天星桥景区绝对不要错过。那个天生桥下方的珍珠链瀑布，很值得一看。这个瀑布比黄果树的观景距离近多了，基本上可以触摸得到的水花水汽，白链如珠，水流很急，特别壮观。当然，它实际上也很危险。就在我们游玩过后的一个星期，就有母子二人在这个瀑布身亡。实际上黄果树的所有瀑布都是只给在栏杆外远观的，无视栏杆走近水边，这么急的水流，危险可想而知。,好评
黄果树,到了贵州，必须要到的就是黄果树瀑布！以黄果树瀑布为中心，周边分布着十几条瀑布，黄果树瀑布是黄果树瀑布群中最大的一级瀑布，因该区域生长着很多“黄果树”得名。瀑布周围峰峦叠嶂，植被茂密，峡谷、溶洞、石林石柱比比皆是，属典型的喀斯特地貌。,好评
黄果树,状观的黄果树瀑布 晴天隐隐响春雷， 绝顶奔来云深处。,好评
黄果树,带父母带贵州玩，那一定要来贵州最有名的黄果树瀑布看看。父母年纪大了，所以选择的跟团游比较安全。 提前做好的攻略黄果树为核心景点，是西游记的取景地，很多人慕名而来，大瀑布很是壮观，由远及近，然后可以进水帘洞内再出来，可惜去的那天下雨太大水帘洞景区关闭了，没有能进去太可惜了，如果下次有机会来玩的时候一定要进去看看。,好评
黄果树,去年的时候来玩的，当时一直想着来到新看到的景色如何。没想到来到这之后，感觉跟之前书上描述的一模一样。真是大自然的魅力四射！也是人间仙境啊！也不知不觉想到了西游记里面的情景？真是美丽，感觉此瀑布真是无可替代啊！,好评
黄果树,进门以后乘坐景区大巴前往第一站陡坡塘瀑布，据说这里是拍摄西游记的地方，陡坡塘瀑布是三个瀑布里面最小的，也不太壮观，个人感觉四十分钟就可以打个来回。陡坡塘瀑布没什么特别好看的，走马观花看看即可，精彩的在后面 然后出门以后就在门口乘坐景区大巴前往第二站天星桥瀑布，天星桥瀑布距离陡坡塘分钟车程，天星桥瀑布前半段人很多，高老庄以后人就少了，因为一般旅行团知道高老庄，可是真正漂亮的在后面，比如天星洞，银链坠潭瀑布都很非常漂亮的。,好评
黄果树,暑假去的，大瀑布景区真的是人山人海 听说是西游记的取景地，还是蛮期待的 看到瀑布倾泻的场景还是蛮震撼的 同行的朋友说一定要去钻水帘洞 于是排队排了超级久，大概两个小时 终于体验了一把横穿瀑布的感觉 除了凉快就是刺激！ 虽然穿雨衣还是会打湿 也算一次难忘的体验啦,好评
黄果树,来黄果树本来我们是自由行，没想到下车被一个包车的导游接错人，结果就加入了他们的包车小团，很方便很舒适，导游说我们去看要在午后去，因为黄果树瀑布不是雨季，水要从上游水库闸放水，在中午左右，所以看到的水比较大，当我们看到时真的验证了她黄果树瀑布也是世界著名大瀑布之一，以水势浩大著称，瀑布高度为.米，水流湍急，而且在几处汇合点看到水就像刹不住闸的洪流，宏伟壮观，气势汹汹霸气超猛，拍摄一定看脚下，小心湿滑，相机手机都防水雾，不多时避开拥挤，尤其危险路段， 推荐指数:????? tips：免费拍照很多，实际是付费的，选择自己喜欢的，出行是有当地人指点方便许多 武汉加油，！中国加油！,好评
